,Номенклатура,Цена,Количество,Сумма,total чека,Дата покупки,retailPlace,retailPlaceAddress,organization-name,organization-inn,seller-name,seller-inn,Полный чек (http://jsonviewer.stack.hu/),qr-code (single),qr-code,added_user_id,id категории
,РИНОФЛУИМУЦИЛ 10МЛ. СПРЕЙ НАЗАЛ. /ЗАМБОН/,297,1,297,297,2021-09-18 10:16,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615afb069e4beb5196147cc4', 'kind': 'kkt', 'createdAt': '2021-10-04T16:00:54+03:00', 'statusDescription': {}, 'qr': 't=20210918T1016&s=297.00&fn=9280440301480695&i=8850&fp=3419441973&n=1', 'operation': {'date': '2021-09-18T10:16', 'type': 1, 'sum': 29700}, 'process': [{'time': '2021-10-04T13:00:54+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 29700, 'documentId': 8850, 'fsId': '9280440301480695', 'fiscalSign': '3419441973', 'date': '2021-09-18T10:16'}, 'ticket': {'document': {'receipt': {'dateTime': 1631949360, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 29700, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8850, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 3419441973, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'РИНОФЛУИМУЦИЛ 10МЛ. СПРЕЙ НАЗАЛ. /ЗАМБОН/', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 29700, 'productType': 1, 'productCodeData': {'gtin': 4603619000087, 'rawProductCode': '444D042FDD133F1733373031303430323830323137', 'productIdType': 6, 'sernum': '3701040280217'}, 'quantity': 1, 'sum': 29700}], 'kktRegId': '0004067186040429    ', 'nds10': 2700, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 12, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 69, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 29700, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210918T101600&s=297.00&fn=9280440301480695&i=8850&fp=3419441973&n=1,t=20210918T101600&s=297.00&fn=9280440301480695&i=8850&fp=3419441973&n=1,,
,ПЕРЕКИСЬ ВОДОРОДА 3% 200МЛ. Р-Р ДЕЗ.СР-ВО ФЛ.,54,1,54,928,2021-09-17 20:40,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615afc0b9a3b7a373a5a817c', 'kind': 'kkt', 'createdAt': '2021-10-04T16:05:15+03:00', 'statusDescription': {}, 'qr': 't=20210917T2040&s=928.00&fn=9280440301480695&i=8823&fp=2614261159&n=1', 'operation': {'date': '2021-09-17T20:40', 'type': 1, 'sum': 92800}, 'process': [{'time': '2021-10-04T13:05:15+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 92800, 'documentId': 8823, 'fsId': '9280440301480695', 'fiscalSign': '2614261159', 'date': '2021-09-17T20:40'}, 'ticket': {'document': {'receipt': {'dateTime': 1631900400, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 92800, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8823, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 2614261159, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'ПЕРЕКИСЬ ВОДОРОДА 3% 200МЛ. Р-Р ДЕЗ.СР-ВО ФЛ.', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 5400, 'productType': 1, 'quantity': 1, 'sum': 5400}, {'name': 'АКТИФРУТ КАРАМЕЛЬ ВИТАМ. С АЛЬПИЙСКИЙ МЕД 60Г.', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 6900, 'productType': 1, 'quantity': 1, 'sum': 6900}, {'name': 'ГРАММИДИН 0,06МГ+0,1МГ/ДОЗА 112ДОЗ СПРЕЙ Д/МЕСТ.ПРИМ. ДОЗИР.', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 34600, 'productType': 1, 'productCodeData': {'gtin': 4602193012462, 'rawProductCode': '444D042F881466EE31313131507864624155436554', 'productIdType': 6, 'sernum': '1111PxdbAUCeT'}, 'quantity': 1, 'sum': 34600}, {'name': 'ИМУДОН №40 ТАБ.РАСС.', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 45900, 'productType': 1, 'productCodeData': {'gtin': 4602196002446, 'rawProductCode': '444D042F8842068E6E6150654D434F5833344F6979', 'productIdType': 6, 'sernum': 'naPeMCOX34Oiy'}, 'quantity': 1, 'sum': 45900}], 'kktRegId': '0004067186040429    ', 'nds10': 7318, 'nds18': 2050, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 116, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 92800, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T204000&s=928.00&fn=9280440301480695&i=8823&fp=2614261159&n=1,t=20210917T204000&s=928.00&fn=9280440301480695&i=8823&fp=2614261159&n=1,,
,АКТИФРУТ КАРАМЕЛЬ ВИТАМ. С АЛЬПИЙСКИЙ МЕД 60Г.,69,1,69,928,2021-09-17 20:40,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T204000&s=928.00&fn=9280440301480695&i=8823&fp=2614261159&n=1,,
,"ГРАММИДИН 0,06МГ+0,1МГ/ДОЗА 112ДОЗ СПРЕЙ Д/МЕСТ.ПРИМ. ДОЗИР.",346,1,346,928,2021-09-17 20:40,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T204000&s=928.00&fn=9280440301480695&i=8823&fp=2614261159&n=1,,
,ИМУДОН №40 ТАБ.РАСС.,459,1,459,928,2021-09-17 20:40,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T204000&s=928.00&fn=9280440301480695&i=8823&fp=2614261159&n=1,,
,ИБУПРОФЕН-ХЕМОФАРМ 400МГ. №30 ТАБ. П/П/О /ХЕМОФАРМ/,69,1,69,69,2021-09-17 17:10,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615afc1a9e4beb5196147d27', 'kind': 'kkt', 'createdAt': '2021-10-04T16:05:30+03:00', 'statusDescription': {}, 'qr': 't=20210917T1710&s=69.00&fn=9280440301480695&i=8778&fp=1601511863&n=1', 'operation': {'date': '2021-09-17T17:10', 'type': 1, 'sum': 6900}, 'process': [{'time': '2021-10-04T13:05:30+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 6900, 'documentId': 8778, 'fsId': '9280440301480695', 'fiscalSign': '1601511863', 'date': '2021-09-17T17:10'}, 'ticket': {'document': {'receipt': {'dateTime': 1631887800, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 6900, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8778, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 1601511863, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'ИБУПРОФЕН-ХЕМОФАРМ 400МГ. №30 ТАБ. П/П/О /ХЕМОФАРМ/', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 6900, 'productType': 1, 'productCodeData': {'gtin': 8600097302296, 'rawProductCode': '444D07D25DBEA718463043434757414E5646304656', 'productIdType': 6, 'sernum': 'F0CCGWANVF0FV'}, 'quantity': 1, 'sum': 6900}], 'kktRegId': '0004067186040429    ', 'nds10': 627, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 71, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 6900, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T171000&s=69.00&fn=9280440301480695&i=8778&fp=1601511863&n=1,t=20210917T171000&s=69.00&fn=9280440301480695&i=8778&fp=1601511863&n=1,,
,"АМБРОКСОЛ-СОЛОФАРМ 7,5МГ/МЛ. 2МЛ. №20 Р-Р Д/ПРИЕМА ВНУТРЬ И ИНГ. ТЮБ./КАП. /ГРОТЕКС/",135,1,135,688,2021-09-17 15:56,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615afc269a3b7a373a5a8186', 'kind': 'kkt', 'createdAt': '2021-10-04T16:05:42+03:00', 'statusDescription': {}, 'qr': 't=20210917T1556&s=688.00&fn=9280440301480695&i=8761&fp=3492804027&n=1', 'operation': {'date': '2021-09-17T15:56', 'type': 1, 'sum': 68800}, 'process': [{'time': '2021-10-04T13:05:42+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 68800, 'documentId': 8761, 'fsId': '9280440301480695', 'fiscalSign': '3492804027', 'date': '2021-09-17T15:56'}, 'ticket': {'document': {'receipt': {'dateTime': 1631883360, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 68800, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8761, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 3492804027, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'АМБРОКСОЛ-СОЛОФАРМ 7,5МГ/МЛ. 2МЛ. №20 Р-Р Д/ПРИЕМА ВНУТРЬ И ИНГ. ТЮБ./КАП. /ГРОТЕКС/', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 13500, 'productType': 1, 'quantity': 1, 'sum': 13500}, {'name': 'НАТРИЯ ХЛОРИД БУФУС 0,9% 5МЛ. №10 Р-Р Д/ИН. АМП. /RENEWAL/', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 12000, 'productType': 1, 'productCodeData': {'gtin': 4603988009001, 'rawProductCode': '444D042FF311E02946364A3430323035334A463447', 'productIdType': 6, 'sernum': 'F6J402053JF4G'}, 'quantity': 1, 'sum': 12000}, {'name': 'САЛЬБУТАМОЛ-ТЕВА 100МКГ/ДОЗА 200ДОЗ АЭРОЗОЛЬ /ТЕВА/', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 13400, 'productType': 1, 'productCodeData': {'gtin': 3850114229807, 'rawProductCode': '444D03806CB0E62F31303133313039343337383834', 'productIdType': 6, 'sernum': '1013109437884'}, 'quantity': 1, 'sum': 13400}, {'name': 'ФОРТЕВИТ ВИТ.Д3 2000МЕ №20 ШИП.ТАБ.', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 29900, 'productType': 1, 'quantity': 1, 'sum': 29900}], 'kktRegId': '0004067186040429    ', 'nds10': 3536, 'nds18': 4983, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 54, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 68800, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T155600&s=688.00&fn=9280440301480695&i=8761&fp=3492804027&n=1,t=20210917T155600&s=688.00&fn=9280440301480695&i=8761&fp=3492804027&n=1,,
,"НАТРИЯ ХЛОРИД БУФУС 0,9% 5МЛ. №10 Р-Р Д/ИН. АМП. /RENEWAL/",120,1,120,688,2021-09-17 15:56,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T155600&s=688.00&fn=9280440301480695&i=8761&fp=3492804027&n=1,,
,САЛЬБУТАМОЛ-ТЕВА 100МКГ/ДОЗА 200ДОЗ АЭРОЗОЛЬ /ТЕВА/,134,1,134,688,2021-09-17 15:56,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T155600&s=688.00&fn=9280440301480695&i=8761&fp=3492804027&n=1,,
,ФОРТЕВИТ ВИТ.Д3 2000МЕ №20 ШИП.ТАБ.,299,1,299,688,2021-09-17 15:56,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T155600&s=688.00&fn=9280440301480695&i=8761&fp=3492804027&n=1,,
,РЕНЮ Р-Р Д/ЛИНЗ MPS Д/ЧУВСТВ. 120МЛ. [RENU],276,1,276,1648,2021-09-17 17:17,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615280e36c74136650fe2937', 'kind': 'kkt', 'createdAt': '2021-10-04T16:43:16+03:00', 'statusDescription': {}, 'qr': 't=20210917T1717&s=1648.00&fn=9280440301480695&i=8779&fp=1592319066&n=1', 'operation': {'date': '2021-09-17T17:17', 'type': 1, 'sum': 164800}, 'process': [{'time': '2021-09-28T02:41:41+00:00', 'result': 30}, {'time': '2021-09-28T12:15:52+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 164800, 'documentId': 8779, 'fsId': '9280440301480695', 'fiscalSign': '1592319066', 'date': '2021-09-17T17:17'}, 'ticket': {'document': {'receipt': {'dateTime': 1631888220, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 164800, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8779, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 1592319066, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'РЕНЮ Р-Р Д/ЛИНЗ MPS Д/ЧУВСТВ. 120МЛ. [RENU]', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 27600, 'productType': 1, 'quantity': 1, 'sum': 27600}, {'name': 'АКВА МАРИС 10МЛ. КАПЛИ Д/ДЕТЕЙ ФЛ./КАП.', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 12600, 'productType': 1, 'productCodeData': {'gtin': 3858881054738, 'rawProductCode': '444D0382773C081242365239565638314239444258', 'productIdType': 6, 'sernum': 'B6R9VV81B9DBX'}, 'quantity': 1, 'sum': 12600}, {'name': 'АКВА МАРИС 10МЛ. КАПЛИ Д/ДЕТЕЙ ФЛ./КАП.', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 12600, 'productType': 1, 'productCodeData': {'gtin': 3858881054738, 'rawProductCode': '444D0382773C08124236525032564441324D433253', 'productIdType': 6, 'sernum': 'B6RP2VDA2MC2S'}, 'quantity': 1, 'sum': 12600}, {'name': 'АКВА МАРИС 10МЛ. КАПЛИ Д/ДЕТЕЙ ФЛ./КАП.', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 12600, 'productType': 1, 'productCodeData': {'gtin': 3858881054738, 'rawProductCode': '444D0382773C08124236524B48445758504E434B48', 'productIdType': 6, 'sernum': 'B6RKHDWXPNCKH'}, 'quantity': 1, 'sum': 12600}, {'name': 'АКВА МАРИС 10МЛ. КАПЛИ Д/ДЕТЕЙ ФЛ./КАП.', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 12600, 'productType': 1, 'productCodeData': {'gtin': 3858881054738, 'rawProductCode': '444D0382773C08124236505339475453384E563853', 'productIdType': 6, 'sernum': 'B6PS9GTS8NV8S'}, 'quantity': 1, 'sum': 12600}, {'name': 'АКВА МАРИС 10МЛ. КАПЛИ Д/ДЕТЕЙ ФЛ./КАП.', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 12600, 'productType': 1, 'productCodeData': {'gtin': 3858881054738, 'rawProductCode': '444D0382773C0812423652474D374E333258483748', 'productIdType': 6, 'sernum': 'B6RGM7N32XH7H'}, 'quantity': 1, 'sum': 12600}, {'name': 'ХАРТМАНН КОСМОПОР Е ПОВЯЗКА 7,2Х5СМ №10 П/ОПЕР. САМОКЛ. СТЕР. [HARTMANN COSMOPOR]', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 13000, 'productType': 1, 'quantity': 3, 'sum': 39000}, {'name': 'РЕПАРКОЛ 7% ГЕЛЬ КОЛЛАГ. 10МЛ.', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 34900, 'productType': 1, 'quantity': 1, 'sum': 34900}, {'name': 'ПАКЕТ МАЙКА БЕЛЫЙ', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 300, 'productType': 1, 'quantity': 1, 'sum': 300}], 'kktRegId': '0004067186040429    ', 'nds10': 11780, 'nds18': 5867, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 72, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 164800, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T171700&s=1648.00&fn=9280440301480695&i=8779&fp=1592319066&n=1,t=20210917T171700&s=1648.00&fn=9280440301480695&i=8779&fp=1592319066&n=1,1115697907,
,АКВА МАРИС 10МЛ. КАПЛИ Д/ДЕТЕЙ ФЛ./КАП.,126,1,126,1648,2021-09-17 17:17,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T171700&s=1648.00&fn=9280440301480695&i=8779&fp=1592319066&n=1,1115697907,
,АКВА МАРИС 10МЛ. КАПЛИ Д/ДЕТЕЙ ФЛ./КАП.,126,1,126,1648,2021-09-17 17:17,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T171700&s=1648.00&fn=9280440301480695&i=8779&fp=1592319066&n=1,1115697907,
,АКВА МАРИС 10МЛ. КАПЛИ Д/ДЕТЕЙ ФЛ./КАП.,126,1,126,1648,2021-09-17 17:17,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T171700&s=1648.00&fn=9280440301480695&i=8779&fp=1592319066&n=1,1115697907,
,АКВА МАРИС 10МЛ. КАПЛИ Д/ДЕТЕЙ ФЛ./КАП.,126,1,126,1648,2021-09-17 17:17,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T171700&s=1648.00&fn=9280440301480695&i=8779&fp=1592319066&n=1,1115697907,
,АКВА МАРИС 10МЛ. КАПЛИ Д/ДЕТЕЙ ФЛ./КАП.,126,1,126,1648,2021-09-17 17:17,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T171700&s=1648.00&fn=9280440301480695&i=8779&fp=1592319066&n=1,1115697907,
,"ХАРТМАНН КОСМОПОР Е ПОВЯЗКА 7,2Х5СМ №10 П/ОПЕР. САМОКЛ. СТЕР. [HARTMANN COSMOPOR]",130,3,390,1648,2021-09-17 17:17,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T171700&s=1648.00&fn=9280440301480695&i=8779&fp=1592319066&n=1,1115697907,
,РЕПАРКОЛ 7% ГЕЛЬ КОЛЛАГ. 10МЛ.,349,1,349,1648,2021-09-17 17:17,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T171700&s=1648.00&fn=9280440301480695&i=8779&fp=1592319066&n=1,1115697907,
,ПАКЕТ МАЙКА БЕЛЫЙ,3,1,3,1648,2021-09-17 17:17,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T171700&s=1648.00&fn=9280440301480695&i=8779&fp=1592319066&n=1,1115697907,
,ПАРАЦЕТАМОЛ 500МГ. №20 ТАБ. /ФАРМСТАНДАРТ/,29,1,29,29,2021-09-17 16:10,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615280f986fc9d87df37ba61', 'kind': 'kkt', 'createdAt': '2021-10-04T16:53:07+03:00', 'statusDescription': {}, 'qr': 't=20210917T1610&s=29.00&fn=9280440301480695&i=8764&fp=405904687&n=1', 'operation': {'date': '2021-09-17T16:10', 'type': 1, 'sum': 2900}, 'process': [{'time': '2021-09-28T02:42:01+00:00', 'result': 30}, {'time': '2021-09-28T12:17:48+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 2900, 'documentId': 8764, 'fsId': '9280440301480695', 'fiscalSign': '405904687', 'date': '2021-09-17T16:10'}, 'ticket': {'document': {'receipt': {'dateTime': 1631884200, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 2900, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8764, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 405904687, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'ПАРАЦЕТАМОЛ 500МГ. №20 ТАБ. /ФАРМСТАНДАРТ/', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 2900, 'productType': 1, 'productCodeData': {'gtin': 4601669000606, 'rawProductCode': '444D042F68D89D9E717547474B3038684431643437', 'productIdType': 6, 'sernum': 'quGGK08hD1d47'}, 'quantity': 1, 'sum': 2900}], 'kktRegId': '0004067186040429    ', 'nds10': 264, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 57, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 2900, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T161000&s=29.00&fn=9280440301480695&i=8764&fp=405904687&n=1,t=20210917T161000&s=29.00&fn=9280440301480695&i=8764&fp=405904687&n=1,1115697907,
